Nivel;Vazao;Precp1;Precp2;Precp3;Precp4;Precp5;Precp6;Precp7;Precp8;Precp9;Precp10;Precp11;Evap1;Evap2;Evap3;Evap4;Evap5;Evap6;Evap7;Evap8;Evap9;Evap10;Evap11;rnof1;rnof2;rnof3;rnof4;rnof5;rnof6;rnof7;rnof8;rnof9;rnof10;rnof11;Temp1;Temp2;Temp3;Temp4;Temp5;Temp6;Temp7;Temp8;Temp9;Temp10;Temp11
561,5;789;0;67,68277526;0;0;0;0;0;0;0;3811,185742;0;449,4306014;495,3031228;72,08321238;55,17765045;136,3119507;118,8529372;122,452755;246,2379215;2765,750576;5685,332674;180,944459;-277,75;-602,3304863;0;0;0;0;-454,5;-243,8780488;0;0,565746613;0;25,07836745;24,84171856;25,88089498;25,67135959;25,52436551;25,29622128;26,70249523;26,08142164;23,63835055;23,66564589;25,04641833
561,5;615;0;0;0;0;0;0;0;0;0;1249,326599;0;379,6677945;437,5958657;60,60697174;46,65904474;116,1449165;101,900301;102,1150727;208,3318465;2455,363479;5377,300685;154,4882717;-277,75;-602,3493976;0;0;0;0;-454,5;-243,8780488;0;0,115187046;0;25,37569131;25,11996607;26,05682119;25,88881429;25,78912908;25,62978644;27,33146945;26,61086515;24,25681694;24,23564349;25,46385956
561,52;704;1233,445338;1431,107736;93,19905043;95,84337485;246,1035219;239,4257818;106,6948213;82,76448449;11,66957844;6200,966687;492,62919;413,1356287;457,7332859;64,95093775;49,32640553;122,9768057;106,9275336;110,8818328;217,294965;2349,618753;5257,624483;160,6029606;-274,6394655;-598,5037604;0,683392464;1,723979822;1,866161934;2,203379319;-454,2660233;-243,7904072;0,000164743;1,530676028;4,256928047;24,91661792;24,32619099;25,27447255;25,1116333;25,06367354;24,98655942;26,49724509;25,83754526;23,83986331;23,64300178;24,80023847
561,54;666;123,7081775;392,6788086;2,02E-06;0;0,08532203;1,586869299;0,021304628;8,112885572;73,07704835;6599,481738;87,53141034;331,7625556;362,47193;51,32673502;39,71650028;98,65627909;86,80205011;83,96549392;167,5341091;1852,418575;4040,046705;127,9134154;-277,5987484;-601,825706;0;0;2,29E-05;0,00061731;-454,4999988;-243,8748181;0,002746367;1,381155081;0,193700385;25,05129708;24,80972842;25,68407186;25,4625685;25,39829462;25,26454404;27,14461587;26,46582999;23,84342981;23,67977758;25,01293182
561,54;570;751,1901522;1043,712603;124,2607727;98,65134621;256,2126937;208,2270994;269,8983328;497,5526301;7604,837437;18925,76016;296,051753;304,3371046;338,9259024;51,3410418;38,68994904;95,3953228;82,32272291;86,66774797;167,4586611;1861,345251;4142,389674;123,0508914;-277,0705156;-600,9354045;0,380050746;0,42777982;0,475964021;0,459061889;-453,9531179;-243,2863139;3,332665448;4,860958412;0,658853707;24,11594094;23,91693152;25,10151672;24,94300334;24,82183006;24,63736926;25,8636003;25,24590097;22,88872103;22,38948028;24,31044878
561,54;568;763,1144614;836,6484461;124,960762;86,20955849;247,3478336;259,7604365;425,0207872;661,926609;20120,74331;22033,59727;315,6464543;310,5950468;361,7562842;44,43750167;34,74795938;87,82673717;80,74438572;82,86475992;160,5888569;1670,531019;3850,374851;125,1058698;-276,9428873;-601,5194736;0,649790446;0,611010704;0,724663496;0,887226025;-453,1896098;-242,5777731;11,26883973;6,716197135;0,840908455;23,21135881;23,24412592;24,06476847;24,01646254;23,98443881;23,908171;24,90038369;24,30268004;21,67624876;21,9264135;23,73657663
561,52;432;747,981143;1197,806114;76,19148064;63,40684462;173,1257124;196,6904883;126,3037577;257,4705822;3234,674111;14069,75567;456,3803697;365,452363;437,4025455;59,09293318;45,69516325;116,0262437;102,420577;107,3957925;201,4125705;2143,754549;5550,47122;156,1066008;-277,1965361;-600,7031837;0,157074075;0,210515714;0,299746116;0,522068446;-454,3943001;-243,7163008;0,531203604;3,171931596;1,335655606;21,94533369;21,9289889;22,46979777;22,3231269;22,2386322;22,12940899;23,19064608;22,73058561;20,51686825;20,77151672;22,01642173
561,5;434;1593,502472;1865,984443;294,8999767;222,1845284;559,0307751;475,3617249;440,2780113;869,7816906;9457,917508;16793,17593;700,6601696;309,3918486;366,5592842;48,66124678;36,28536749;88,53472781;75,6349144;93,07128906;175,9664164;1735,091136;4238,364715;109,9587829;-276,6825572;-600,7571593;0,921153069;0,970725271;1,046029595;1,064125619;-453,8748186;-243,0039134;3,321857551;3,084242924;1,448671475;21,90564516;21,64206558;22,89618683;22,72348362;22,65830439;22,47790045;23,76055631;23,49768885;21,53789074;20,71961902;22,06633214
561,48;395;1018,015625;1219,827714;148,5896969;121,8015432;306,881341;285,526269;158,5759721;359,144311;4960,869949;13403,99679;430,2898302;288,8371642;317,1227148;50,59065819;37,53651047;89,778548;75,30190253;92,64391661;181,3725948;1980,539973;3875,135317;107,0084467;-277,0587236;-601,3528995;0,347182545;0,409631466;0,432590615;0,479942017;-454,3862696;-243,6736958;1,203779543;2,024971522;0,691002487;23,8564699;23,50957075;24,820755;24,71747504;24,68872625;24,56263331;25,87491677;25,33600077;23,71961466;22,72425015;24,26063102
561,46;370;58,32401216;213,3008461;2,228042632;0,230868168;1,622359902;6,332750015;3,803875885;2,97113122;1985,359214;4528,621186;41,44511116;428,1050589;466,7356095;69,7095809;53,45781326;132,3345723;116,6329417;118,7308943;236,0741012;2715,621313;5413,31274;174,3077965;-277,7283528;-602,238789;0,001470711;9,20E-05;0,000337701;0,001586565;-454,498808;-243,8775886;0,891656081;0,473855447;0,028078418;24,74505954;24,20409752;25,70782471;25,48438178;25,28554882;25,03090949;26,82043318;26,21202497;23,88546525;23,23799667;24,6742412
561,5;763;49,38223659;214,9304889;0;0;0,399106413;1,800185487;0;0;1104,054772;5915,406148;23,64729925;413,9278722;462,1209035;65,77065468;50,70724487;125,9086175;110,924809;110,8131788;222,8600097;2387,615575;5168,176707;170,0554276;-277,7318165;-602,1670282;0;1,24E-06;2,92E-05;0,000162276;-454,5;-243,8780488;0,244913084;0,725509142;0,021774109;24,45594533;24,04069096;25,30231222;25,14833238;25,07774492;24,91785792;26,46477578;25,83039744;23,59884608;23,00032127;24,47552381
561,45;270;279,6297461;463,5174887;42,01923299;39,80860353;98,82915592;90,87029958;9,3035335;35,36530994;1574,644316;6063,639593;140,8975942;384,9533727;434,3695936;65,09781981;50,04159307;123,1887913;106,9526443;104,6695542;213,9280992;2450,703533;5067,324685;158,9084525;-277,6677804;-602,0846389;0,055254805;0,066673249;0,069933662;0,078993257;-454,4964378;-243,869835;0,187604793;0,450402737;0,126350271;23,90692351;23,79951165;24,5982844;24,39285617;24,33199935;24,19515349;25,96366744;25,32897949;23,87490176;23,26593181;24,03444999
561,44;543;131,0572642;91,97172701;17,20631218;15,18383813;43,26461804;38,83561051;56,04861951;110,562126;819,3883283;1198,569072;51,29190969;375,0030136;440,727736;57,93616009;44,57826519;110,3591895;98,22032452;105,7735133;206,9022431;2684,007877;5769,638247;149,8055825;-277,7337751;-602,3439785;0,003548718;0,004332616;0,004996369;0,00621496;-454,4775953;-243,8426713;0,076579465;0,030027271;0,007060221;24,75285127;24,63755743;25,57024638;25,43085734;25,38321616;25,21490479;26,47295172;25,87291959;23,83887793;23,6704001;24,97452
561,41;406;0;0;0;0;0;0;0;0;0;66,25683901;0;424,7386436;490,7861631;65,3936367;50,68739223;127,1141915;112,3165083;110,9835787;224,5256505;2705,315916;6109,507671;172,3369775;-277,75;-602,3493976;0;0;0;0;-454,5;-243,8780488;0;0,000616272;0;24,74794557;24,27142738;25,47641754;25,21358575;25,09501371;24,8663298;26,75204329;26,10583273;23,71526737;23,30623472;24,49762399
561,39;483;0;0;0;0;0;0;0;0;3,455160411;406,7138988;0;400,8749037;460,455209;60,76171494;47,33718252;118,2038431;104,5008836;102,1812067;206,9801295;2538,177857;5741,227003;161,7814469;-277,75;-602,3493976;5,71E-08;5,65E-08;4,23E-08;1,24E-08;-454,5;-243,8780488;6,29E-07;0,023236269;2,07E-09;25,49892892;25,44164414;26,22688802;26,10299004;26,03686523;25,9082481;27,32758262;26,6464814;24,63054509;24,72011451;25,78951808
561,37;399;0;14,37942968;0;0;0;0;0;0;574,1822872;1835,615692;0;393,7879908;455,4341164;59,26425266;46,36880445;115,7809052;102,6543469;97,93435836;198,8343692;2478,464315;5481,361681;159,5576458;-277,75;-602,3485134;3,19E-08;3,30E-08;3,09E-08;1,77E-08;-454,5;-243,8780488;0,121024838;0,163623492;4,02E-09;25,70272912;25,23313077;26,67751821;26,49713135;26,37021568;26,12287341;27,73491599;27,05542811;24,30764593;23,72927403;25,76447732
561,35;396;239,8181309;755,1536397;4,388570394;7,832138622;27,30916135;47,92980926;0,10161829;2,29839226;2824,290649;13387,88011;151,5945348;392,8367734;431,3868186;61,35847521;48,34675455;121,4535122;108,5536289;97,78063917;199,670665;2243,094154;4526,871974;163,8780289;-277,4681215;-601,2125688;0,008184207;0,031591663;0,044882464;0,090330033;-454,4999974;-243,8778908;0,847407548;2,443020909;0,304038047;24,17330975;23,51213349;25,14236196;24,83547974;24,62520669;24,27172852;26,30540189;25,85184758;23,41457938;22,12510839;23,77742658
561,37;621;773,8834567;659,401556;92,00876284;55,44514036;82,98593628;52,28878355;182,4876938;195,6015952;866,2096804;1730,083448;87,05346012;344,0253878;384,339922;56,25213289;42,94010782;105,6863885;92,970397;91,89310646;186,7594841;2380,695529;5023,893048;138,4969187;-277,2329063;-601,9809599;0,227950004;0,151554351;0,063243103;0,027585808;-454,2511731;-243,738994;0,115450703;0,049355215;0,064011437;24,87916395;24,69907903;25,53250122;25,35965305;25,31832192;25,18998317;26,83262634;26,25397845;23,55004833;23,32049071;25,03308323
561,36;458;86,68417898;228,4701571;8,33058238;6,911678076;21,01836261;21,95775041;37,28742778;75,12131315;1505,752352;4026,448798;51,60899889;361,9643602;406,6797495;54,53311634;41,41100883;101,354764;89,65251112;100,5244815;192,7827156;2221,320851;4820,710649;136,6720271;-277,7371618;-602,1371839;0,002044012;0,002460778;0,004519974;0,00757753;-454,480751;-243,8436712;0,129306008;0,208554528;0,032533032;25,95708211;25,71188244;26,54276021;26,41704983;26,30822754;26,247716;27,82577098;27,20308257;24,42823518;24,22687136;26,16746194
